               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11051,             0.11505,            0.065166,           0.0051839,             0.16165,           0.0050446,           0.0012394,             0.10012,            0.082659,            0.061152,               0.082,               0.002,               0.002
                   1,            0.093213,             0.13133,            0.056551,             0.11442,            0.042694,            0.015734,             0.00462,            0.086595,            0.094615,            0.049342,            0.063059,           0.0040594,           0.0040594
                   2,            0.080913,             0.12119,            0.043403,             0.13591,             0.14967,             0.03075,           0.0085191,            0.081663,            0.088043,            0.043449,            0.044077,           0.0060772,           0.0060772
                   3,            0.078886,             0.11311,            0.038981,              0.7033,             0.14542,            0.083688,             0.02604,            0.078299,            0.081355,            0.037997,            0.025053,           0.0080535,           0.0080535
                   4,            0.077426,             0.10769,            0.035747,             0.66541,             0.10265,            0.095102,            0.038037,            0.081689,             0.07311,            0.035296,            0.009604,            0.009604,            0.009604
                   5,            0.074497,             0.10144,            0.033644,             0.63412,              0.2175,             0.12396,            0.042971,             0.07398,            0.080953,            0.033758,            0.009604,            0.009604,            0.009604
                   6,            0.068052,             0.10291,            0.032816,              0.5937,             0.27136,             0.17979,            0.054577,            0.064882,            0.082301,            0.032684,            0.009505,            0.009505,            0.009505
                   7,            0.061654,            0.099651,            0.031308,             0.46341,              0.3334,             0.22375,            0.094576,            0.054572,            0.073318,            0.031953,            0.009406,            0.009406,            0.009406
                   8,            0.054322,             0.10945,            0.030088,             0.51224,             0.33975,             0.23922,             0.10294,            0.052292,            0.071889,            0.031267,            0.009307,            0.009307,            0.009307
                   9,            0.055138,            0.099894,            0.029966,             0.50031,             0.30069,             0.24188,              0.1038,            0.053873,            0.070923,            0.032007,            0.009208,            0.009208,            0.009208
                  10,            0.053246,             0.10028,            0.029225,             0.59797,             0.32398,             0.29768,             0.12192,            0.051013,            0.065435,            0.030366,            0.009109,            0.009109,            0.009109
                  11,            0.051157,            0.099124,            0.028767,              0.5295,             0.32666,             0.28927,             0.11407,            0.052949,              0.0684,            0.029685,             0.00901,             0.00901,             0.00901
                  12,            0.049641,            0.094854,            0.027823,             0.63018,             0.36584,              0.3523,             0.14388,            0.046352,            0.067912,            0.029301,            0.008911,            0.008911,            0.008911
                  13,            0.045955,            0.094235,            0.027653,             0.62067,              0.3838,             0.36269,             0.16384,            0.043553,            0.065707,            0.028534,            0.008812,            0.008812,            0.008812
                  14,             0.04733,            0.097072,            0.027571,             0.64447,             0.38819,             0.37253,             0.16729,            0.043817,            0.063642,            0.028201,            0.008713,            0.008713,            0.008713
                  15,            0.045231,            0.094473,            0.026924,             0.69428,             0.37401,             0.37839,             0.17991,            0.041401,            0.071823,            0.028735,            0.008614,            0.008614,            0.008614
                  16,            0.040747,            0.096409,            0.026391,             0.71036,             0.38808,             0.38747,             0.18316,            0.040832,            0.064156,            0.028344,            0.008515,            0.008515,            0.008515
